id,machine,date,doy,spp,plot,subplot,gm.trt,anet,ci,ci.ca,gsw,iwue,vcmax,vcmax25,jmax,jmax25,rd,rd25,TPU,leaf_length_cm,stem_length_cm,total_leaf_area_cm2,Tleaf,tavg10,vp10,atmpres10,vpd10,init_leaf_length_cm,init_stem_length_cm,init_leaf_area
978,stan,6/13/24,165,Tri,6,6,ambient,5.9511,212.3856109,0.5059,0.0501,118.7634,64.6877,47.1894,77.7307,62.8761,1.426,0.9925,NA,14.7,NA,369.9117584,30.4856,17.9233,1.627,97.6045,0.4905,8.3,NA,105.1893577
1021,albert,5/6/24,127,Mai,3,24,ambient,9.7163,314.7214542,0.7496,0.1932,50.2915,47.7761,43.11,80.9463,75.3957,1.8363,1.6648,5.3017,11.9,39.4,357.1033751,26.3892,17.91,1.5428,98.163,0.5869,11.9,39.4,357.1033751
1021,albert,5/22/24,143,Mai,3,24,ambient,6.5243,312.0365073,0.7432,0.1258,51.8742,58.3029,41.9171,79.4577,63.7579,3.3879,2.3243,4.936,11.6,37.2,325.7382087,30.7262,18.2517,1.7097,97.7547,0.4582,11.9,39.4,357.1033751
1021,albert,6/6/24,158,Mai,3,24,ambient,5.8593,309.6601294,0.7373,0.1175,49.8845,33.1605,27.1403,50.634,44.0588,0.9609,0.778,3.2122,11.2,40.5,373.1883151,28.0719,17.0358,1.6276,98.0327,0.3823,11.9,39.4,357.1033751
1146,albert,5/14/24,135,Mai,6,8,weeded,6.7088,289.8125574,0.6903,0.0998,67.2494,45.6774,43.1093,81.2455,77.9225,3.6866,3.463,5.4569,17.2,58.8,677.6473147,25.8795,14.6346,1.4631,97.5742,0.265,17.2,58.8,677.6473147
1146,ozzie,5/24/24,145,Mai,6,8,weeded,4.8668,146.950641,0.3499,0.0304,160.228,46.7515,32.2876,49.1295,38.5689,-3.7286,-2.4873,2.9525,17.9,59.6,692.4589224,31.2021,19.37,1.8042,97.7634,0.4973,17.2,58.8,677.6473147
1146,ozzie,6/7/24,159,Mai,6,8,weeded,5.7723,251.048049,0.5977,0.061,94.5719,28.6708,25.2754,45.4364,41.6176,-0.4132,-0.3643,2.871,17.6,60.1,701.7770398,26.7938,17.0733,1.6318,97.9815,0.3827,17.2,58.8,677.6473147
1146,ozzie,6/22/24,174,Mai,6,8,weeded,7.377,284.611215,0.6777,0.1052,70.1518,74.8468,45.7443,86.1555,63.6391,2.1768,1.3045,4.9524,17.6,59.7,694.3188081,33.1034,22.0925,2.1958,98.509,0.5641,17.2,58.8,677.6473147
1146,stan,7/6/24,188,Mai,6,8,weeded,7.7058,327.1015326,0.779,0.1741,44.26,50.6485,36.1509,76.3308,61.107,2.2166,1.6357,4.726,17.4,60.5,709.2651145,29.5274,22.0012,2.1391,98.1345,0.5763,17.2,58.8,677.6473147
1146,albert,7/18/24,200,Mai,6,8,weeded,4.4234,284.1427809,0.6768,0.0598,73.9789,58.2553,38.9951,76.085,58.5762,5.06,3.5802,4.7533,17.2,56.3,632.1402324,30.2127,23.9975,2.2125,98.0418,0.8522,17.2,58.8,677.6473147
1146,stan,8/23/24,236,Mai,6,8,weeded,4.3427,320.4224105,0.7631,0.0843,51.5241,32.1586,25.5468,57.5984,49.2154,2.2259,1.765,NA,17.2,56.3,632.1402324,28.3937,18.2083,1.721,98.3178,0.4405,17.2,58.8,677.6473147
1157,ozzie,4/28/24,119,Mai,3,30,ambient,10.8225,218.1202306,0.5193,0.0988,109.5932,150.9247,169.9068,132.171,144.0142,1.9279,1.0462,8.1095,10.9,22.9,149.8776144,35.0052,11.4021,0.9247,98.4151,0.5293,10.9,22.9,149.8776144
1157,ozzie,5/22/24,143,Mai,3,30,ambient,5.4295,267.7420283,0.6374,0.0653,83.211,37.9637,28.3519,52.1686,42.823,0.6638,0.4859,3.2031,9.5,25.4,176.9024903,29.6572,18.2517,1.7097,97.7547,0.4582,10.9,22.9,149.8776144
1157,ozzie,6/6/24,158,Mai,3,30,ambient,6.9883,302.0913839,0.7193,0.1157,60.4138,38.3304,31.3858,58.5343,50.949,0.8849,0.7169,3.4927,9.8,23.4,155.1477108,28.0633,17.0358,1.6276,98.0327,0.3823,10.9,22.9,149.8776144
1251,ozzie,5/30/24,151,Mai,3,33,weeded,5.3638,205.7672442,0.4899,0.0435,123.3712,26.7288,31.9415,43.6629,49.3987,0.857,1.0038,2.6157,15.9,53.5,582.5940585,22.8759,18.5012,1.7574,97.8029,0.4305,15.9,53.5,582.5940585
1251,ozzie,6/12/24,164,Mai,3,33,weeded,4.3479,243.4845133,0.5798,0.0435,100.0484,21.6013,19.0121,33.1384,30.3426,-0.2132,-0.1886,2.1108,15.7,53.8,587.8298572,26.7517,17.9367,1.6588,97.5984,0.4516,15.9,53.5,582.5940585
1251,stan,6/27/24,179,Mai,3,33,weeded,4.1857,322.2204984,0.7674,0.0797,52.5423,30.029,22.2807,47.9579,39.3488,1.9613,1.5166,2.9998,15.9,54,591.3301403,28.7854,23.0004,2.3558,98.2113,0.5152,15.9,53.5,582.5940585
1251,albert,7/11/24,193,Mai,3,33,weeded,2.0805,236.1592933,0.5624,0.0194,107.0599,55.3625,39.0317,67.0315,53.2652,6.6102,4.8833,3.9165,15.2,52.1,558.3935039,29.5099,23.3012,2.2248,98.033,0.7098,15.9,53.5,582.5940585
1251,stan,8/20/24,233,Mai,3,33,weeded,3.749,334.6251079,0.797,0.0884,42.4035,15.7025,20.3739,32.8367,39.3195,1.502,1.886,2.419,15.2,52.1,558.3935039,21.9814,19.0425,1.8091,98.166,0.4453,15.9,53.5,582.5940585
1374,albert,4/22/24,113,Tri,5,10,ambient,8.4403,281.5228181,0.6707,0.116,72.7827,38.9374,50.0767,83.7021,100.5764,3.1768,4.1086,NA,11.9,NA,232.3824441,21.6084,12.6771,0.9363,98.0128,0.6478,11.9,NA,232.3824441
1374,albert,5/13/24,134,Tri,5,10,ambient,6.5029,333.0654486,0.7934,0.1559,41.7188,37.9289,31.9116,75.9268,66.9758,2.0434,1.6529,NA,14.3,NA,348.1282624,28.0873,14.6721,1.4778,97.637,0.2532,11.9,NA,232.3824441
1374,albert,5/28/24,149,Tri,5,10,ambient,4.8408,357.2936277,0.8507,0.1731,27.9707,21.6589,19.0378,50.4435,46.1964,0.93,0.8272,NA,14.3,NA,348.1282624,26.6681,19.6183,1.8392,97.7495,0.498,11.9,NA,232.3824441
1374,albert,6/8/24,160,Tri,5,10,ambient,4.243,336.016766,0.8005,0.1194,35.5404,17.8457,16.0625,43.1027,40.0641,0.2749,0.2482,NA,13.5,NA,306.7144879,26.454,17.4071,1.6229,97.9415,0.4355,11.9,NA,232.3824441
