"id","spp","plot","subplot","doy","Vcmax","Jmax","Rd","TPU","leaf_length_cm","stem_length_cm"
"6462","Mai","6","36","122","163.765301108121","127.866260301307","1.53698193826361","7.00144320237473","15.5","41.5"
"6448","Mai","6","36","122","106.952513482764","118.794089122567","2.86617380760894","6.86012557091282","17","80.1"
"5229","Tri","6","1","122","52.6957665451146","104.437262657917","1.80594068720169",NA,"16.2",NA
"4766","Tri","6","2","122","60.8946153709131","125.715064330278","2.0683273797432",NA,"10.4",NA
"762","Tri","6","2","122","65.4783429948985","126.912539696264","1.85996196222737",NA,"14.1",NA
"4373","Tri","6","2","122","84.3562632357653","141.104115876405","2.77257750348622",NA,"13.6",NA
"4777","Tri","6","2","122","92.9105551558999","134.107368937544","2.09999106577608",NA,"13.9",NA
"5865","Tri","6","2","122","87.3460764349006","130.41103161842","2.73042965262643",NA,"13.1",NA
"5267","Tri","6","2","122","74.8863482180392","138.525451780873","1.68588360222469",NA,"15.4",NA
"684","Tri","6","2","122","71.7313097110488","128.556973244401","2.1626334119464",NA,"15.9",NA
"5742","Tri","6","3","122","86.5259739410012","131.304861691627","3.22883708197305",NA,"15.3",NA
"5641","Tri","6","4","122","75.4033809841015","107.298177369211","2.94494948534477",NA,"13.7",NA
"3305","Tri","6","5","122","57.6546030571463","101.482992343111","1.93098146418366",NA,"11.6",NA
"5619","Tri","6","5","122","70.8259333672827","102.773018007671","3.01333602672093",NA,"13.2",NA
"striped2","Tri","6","5","122","92.6167168021089","125.941425508504","3.51974639159043",NA,"15.5",NA
"striped1","Tri","6","5","122","96.8259285699592","131.081398220209","3.64605832290034",NA,"13.7",NA
"978","Tri","6","6","122","118.053098925386","145.601316801522","4.67208270324184",NA,"14.3",NA
"5626","Tri","6","6","122","87.7346972395286","109.754758454398","3.5671938867849",NA,"15.9",NA
"5403","Tri","6","6","122","83.5411045974643","106.471977186876","3.3856794986914",NA,"16.1",NA
"6879","Tri","6","36","122","84.9410164734547","115.921648762809","3.20732268367892",NA,"13.4",NA
"5579","Mai","6","25","123","64.2603998129125","109.072375696385","3.42512877447447","7.6214846094866","20.6","67.2"
"5024","Mai","6","27","123","93.1308461771807","125.789013453445","2.48717916797207",NA,"12.2","19.1"
"5060","Tri","6","27","123","83.4709649004233","142.317890872928","2.34421124323805",NA,"15.8",NA
"6483","Mai","6","19","123","81.7537834375049","133.26242765322","3.32494801434612","8.9628091390018","16.2","54.3"
"5783","Tri","6","20","123","132.558313602886","170.891393958447","5.84149354814131",NA,"17.1",NA
"5506","Mai","6","21","123","134.261395812792","143.714644308892","5.78182982693458","8.74913775423134","13.8","34.5"
"1941","Mai","6","19","123","64.0958394288573","100.02513059647","2.86491539298897",NA,"15.9","50.6"
"2726","Mai","6","30","123","70.9332434966258","102.534960490252","1.8551608066269","6.99214882797086",NA,NA
"5504","Mai","6","36","123","78.934490891711","115.413196349134","0.871198688692469",NA,NA,NA
"2743","Mai","6","36","123","94.2329220403815","106.234918792478","3.43004064911037",NA,NA,NA
"1467","Mai","6","36","123","186.806349759756","206.185185829135","6.07177391912311",NA,NA,NA
"2276","Tri","6","22","123","144.426606881903","160.293492438097","6.57623142314439",NA,"11.9",NA
"5031","Tri","6","22","123","185.930812840076","192.264777972694","7.47745224263898",NA,"11",NA
"511","Mai","3","30","127","52.3567596437674","89.1917298552904","1.62867787366774","5.58327222022045","13.1","33.8"
